file_id,object_id,img_height,img_width,xmin,ymin,xmax,ymax,label,label_name,image_file,ann_file,bb_height,bb_width,bb_area,bb_aspectr
BloodImage_00001,7789770,480,640,68,315,286,479,2,WBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,164,218,35752,1.329268292682927
BloodImage_00001,7789769,480,640,346,361,446,454,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,93,100,9300,1.075268817204301
BloodImage_00001,7789768,480,640,53,179,146,299,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,120,93,11160,0.775
BloodImage_00001,7789767,480,640,449,400,536,479,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,79,87,6873,1.1012658227848102
BloodImage_00001,7789766,480,640,461,132,548,212,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,80,87,6960,1.0875
BloodImage_00001,7789765,480,640,454,295,541,375,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,80,87,6960,1.0875
BloodImage_00001,7789764,480,640,417,283,508,383,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,100,91,9100,0.91
BloodImage_00001,7789763,480,640,278,342,369,451,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,109,91,9919,0.8348623853211009
BloodImage_00001,7789762,480,640,545,62,636,159,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,97,91,8827,0.9381443298969072
BloodImage_00001,7789761,480,640,485,91,576,188,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,97,91,8827,0.9381443298969072
BloodImage_00001,7789760,480,640,376,171,438,253,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,82,62,5084,0.7560975609756098
BloodImage_00001,7789759,480,640,329,177,395,271,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,94,66,6204,0.7021276595744681
BloodImage_00001,7789758,480,640,291,59,407,168,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,109,116,12644,1.0642201834862386
BloodImage_00001,7789757,480,640,299,1,404,68,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,67,105,7035,1.5671641791044777
BloodImage_00001,7789756,480,640,346,26,449,138,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,112,103,11536,0.9196428571428571
BloodImage_00001,7789755,480,640,134,1,241,95,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,94,107,10058,1.1382978723404256
BloodImage_00001,7789754,480,640,1,38,98,164,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,126,97,12222,0.7698412698412699
BloodImage_00001,7789753,480,640,165,160,257,264,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,104,92,9568,0.8846153846153846
BloodImage_00001,7789752,480,640,464,209,566,319,1,RBC,BloodImage_00001.jpeg,BloodImage_00001.jpeg.json,110,102,11220,0.9272727272727272
BloodImage_00003,7790962,480,640,127,40,344,226,2,WBC,BloodImage_00003.jpeg,BloodImage_00003.jpeg.json,186,217,40362,1.1666666666666667
BloodImage_00003,7790961,480,640,317,93,424,195,1,RBC,BloodImage_00003.jpeg,BloodImage_00003.jpeg.json,102,107,10914,1.0490196078431373
BloodImage_00003,7790960,480,640,379,146,471,234,1,RBC,BloodImage_00003.jpeg,BloodImage_00003.jpeg.json,88,92,8096,1.0454545454545454
